Название канала	Ед. изм.	Описание	Диапозон значений при раб. двc	Unnamed: 4	Обычные значения	Unnamed: 6	Проверить, если значения превышают
SyncState		Состояние синхронизации					"В случае, если значение Crank_Stateравно5 при работающем двигателе, проверьте,
чтобы:
1) Газораспределение двигателя
1) Подключение датчиков CAM и SMOT к электрическому ткацкому станку
2) Непрерывность работы датчиков CAM и SMOT на ткацком станке от
Подключение ЭБУ к разъему
3) Замените кулачок и/или датчик SMOT
Смотрите в техническом бюллетене Sharezone 009-22"
tAir	°C	"Температура на входе в систему (t2.2) 
 расчетное значение (отфильтрованное)"				65	
TBox_Supply_Corr	°C	Температура ЭБУ					
tFuel	°C	"Рассчитанное значение температуры топлива
(отфильтрованное)"					
Throttle1status		Состояние дроссельной заслонки 1					См. Технический бюллетень Sharezone 009-22
Throttle2status		Состояние дроссельной заслонки 2					См. Технический бюллетень Sharezone 009-22
tOil	°C	"Расчетное значение температуры масла
(отфильтрованного)"	110	130	60	140	Проверка масляного контура, уровня масла, состояния теплообменника и целостности датчиков
tWater	°C	Уточненное значение температуры воды	80	90	75	100	Уровень охлаждающей жидкости, пузырьки в контуре охлаждающей жидкости, процентное содержание гликоля (см. руководство по эксплуатации двигателя), засорение радиатора
vBarrel	V	Барабан селектора					
Vbatt_Corr	V	Компенсированное напряжение батареи hw	13.5	14,14,5	11	17	"В случае низкого заряда батареи проверьте: 
1) Состояние батареи и подключение
2) Подключение к массе
2) Генератор"
Vref1_Corr	V	Напряжение питания 1 В	4.95	5.05			Заменить ЭБУ
Vref2_Corr	V	Напряжение питания 1 В	4.95	5.05			Заменить ЭБУ
Vref3_Corr	V	Напряжение питания 1 В	4.95	5.05			Заменить ЭБУ
Vref4_Corr	V	Напряжение питания 1 В	4.95	5.05			Заменить ЭБУ
WSpeed_FL	км/ч	Отфильтрованная скорость вращения переднего левого колеса					В случае появления шипов проверьте целостность датчика скорости вращения колеса
WSpeed_FL_Dg		Диагностика скорости вращения переднего левого колеса					
WSpeed_FR	км/ч	Отфильтрованная скорость вращения переднего правого колеса					В случае появления шипов проверьте целостность датчика скорости вращения колеса
WSpeed_FR_Dg		Диагностика скорости вращения переднего правого колеса					
xDamper_FL	mm	Заданное значение линейного демпфера передней левой заслонки (отфильтровано)					
xDamper_FR	mm	Заданное значение линейного демпфера передней правой заслонки (отфильтровано)					
xDamper_RL	mm	"Задний левый линейный амортизатор
значение (отфильтрованное)"					
xDamper_RR	mm	"Задний правый линейный амортизатор
значение (отфильтрованное)"					
